epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.0335,2.16213,3.74981,1.93941,0.69382,0.68132,0.70391,0.28637,0.99805,40.5116,0.95071,0.00998693,0.00332898,0.00998693,0.00332898,0.00998693,0.00332898,0.00998693,0.00332898
2,136.075,1.76498,1.69681,1.63157,0.79922,0.68784,0.77614,0.42086,0.91418,6.74382,0.90916,0.019888,0.00662933,0.019888,0.00662933,0.019888,0.00662933,0.019888,0.00662933
3,199.517,1.77406,1.56108,1.66062,0.78905,0.7207,0.78581,0.40087,0.84558,9.97537,0.87768,0.0296901,0.00989669,0.0296901,0.00989669,0.0296901,0.00989669,0.0296901,0.00989669
4,262.346,1.71605,1.49523,1.61701,0.85046,0.7767,0.84418,0.4937,0.77405,4.36697,0.8177,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,325.101,1.61042,1.33741,1.55294,0.85423,0.79292,0.84391,0.50941,0.76289,4.87464,0.7995,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,387.762,1.48926,1.18239,1.47552,0.85765,0.81599,0.89213,0.54857,0.71757,1.93048,0.76689,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,450.456,1.41617,1.09708,1.43585,0.89015,0.83888,0.91474,0.60808,0.64372,3.73608,0.72232,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,513.23,1.36055,1.02776,1.39796,0.90978,0.87998,0.93304,0.61135,0.66586,1.98457,0.72978,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,576.006,1.30677,0.96089,1.36219,0.90386,0.86879,0.92788,0.62812,0.62126,1.62162,0.7089,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,639.019,1.27988,0.96512,1.34218,0.92231,0.85982,0.93456,0.64558,0.60937,1.9068,0.69812,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,701.743,1.24682,0.9271,1.3269,0.91345,0.89289,0.93722,0.65425,0.60153,2.17344,0.68815,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,764.428,1.22257,0.89204,1.31422,0.91255,0.89346,0.94668,0.65508,0.57389,1.89953,0.67273,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,827.042,1.20327,0.8894,1.29762,0.91728,0.88709,0.95097,0.66906,0.56299,1.4796,0.65849,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,890.137,1.16934,0.88037,1.27635,0.91884,0.90111,0.95152,0.69929,0.51268,1.09813,0.62631,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,952.279,1.14028,0.81893,1.25686,0.92986,0.90016,0.95358,0.6931,0.53755,1.80307,0.63043,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1014.57,1.12729,0.82003,1.25081,0.92269,0.89622,0.95284,0.70779,0.50772,1.65887,0.627,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1077.13,1.11448,0.7998,1.247,0.933,0.88545,0.95473,0.72099,0.49983,1.78211,0.6154,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1139.49,1.09446,0.78114,1.23759,0.92728,0.89267,0.95881,0.71881,0.49175,2.22894,0.6069,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
